3
72,25
-3,2,0
-2.58597,1.94803,0.261096
-2.68274,1.62504,-0.368628
-3.24005,2.26518,-0.481906
-2.62963,2.16741,-0.183381
-3.45871,1.76701,0.258875
-2.91617,2.47313,-0.237968
-2.595,1.65205,0.0672578
-2.6466,2.47798,0.304657
-3.442,1.91108,0.20749
-3.1565,2.17104,0.099179
-2.60304,2.08507,-0.452786
-2.84195,1.90233,-0.32775
-2.71058,2.16228,0.437426
-2.69248,2.03265,0.104837
-3.37586,2.07393,0.371844
-2.61699,1.65776,0.344976
-3.35496,1.56276,0.497023
-2.7877,2.41616,0.475007
-2.98304,2.47416,-0.113914
-3.27555,1.81766,-0.442877
-2.67637,1.71461,0.142193
-2.62916,2.37267,-0.455477
-3.45691,2.16209,0.206802
-2.51948,1.96961,-0.26055
-2.91465,2.09374,0.313384
-3.09763,1.94063,0.0500049
-2.6836,1.88867,0.311101
-2.78037,1.56567,-0.318623
-3.33768,2.20581,-0.431901
-2.72726,2.10804,-0.133376
-3.55635,1.70764,0.308879
-3.01381,2.41376,-0.187963
-2.69264,1.59268,0.117263
-2.74423,2.41861,0.354662
-3.53963,1.85171,0.257495
-3.25414,2.11167,0.149184
-2.70068,2.0257,-0.402782
-2.93958,1.84296,-0.277745
-2.80821,2.10291,0.487431
-2.79012,1.97328,0.154842
-3.4735,2.01457,0.421848
-2.71462,1.59839,0.394981
-3.45259,1.50339,0.547028
-2.88533,2.35679,0.525011
-3.08067,2.41479,-0.0639086
-3.37318,1.75829,-0.392872
-2.77401,1.65525,0.192198
-2.72679,2.3133,-0.405472
-3.55454,2.10272,0.256807
-2.61712,1.91024,-0.210545
-3.01228,2.03438,0.363389
-3.16069,1.76243,8.53755e-05
-2.74666,1.71047,0.261181
-2.84343,1.38747,-0.368542
-3.40074,2.02761,-0.481821
-2.79032,1.92985,-0.183295
-3.61941,1.52944,0.25896
-3.07686,2.23557,-0.237883
-2.75569,1.41448,0.0673432
-2.80729,2.24042,0.304743
-3.60269,1.67351,0.207575
-3.31719,1.93347,0.0992644
-2.76374,1.8475,-0.452701
-3.00264,1.66476,-0.327664
-2.87127,1.92471,0.437511
-2.85317,1.79508,0.104922
-3.53655,1.83637,0.371929
-2.77768,1.42019,0.345061
-3.51565,1.32519,0.497109
-2.94839,2.17859,0.475092
-3.14373,2.23659,-0.113828
-3.43624,1.58009,-0.442792
-2.83706,1.47705,0.142278
-2.78985,2.1351,-0.455392
-3.6176,1.92452,0.206887
-2.68017,1.73204,-0.260465
-3.07534,1.85618,0.313469
-2.99247,1.80318,-0.0203357
-2.57844,1.75121,0.24076
-2.67521,1.42821,-0.388963
-3.23252,2.06835,-0.502242
-2.6221,1.97059,-0.203716
-3.45119,1.57018,0.238539
-2.90865,2.27631,-0.258304
-2.58747,1.45522,0.0469221
-2.63907,2.28116,0.284322
-3.43447,1.71426,0.187154
-3.14897,1.97421,0.0788433
-2.59552,1.88825,-0.473122
-2.83442,1.70551,-0.348086
-2.70305,1.96546,0.41709
-2.68495,1.83582,0.0845013
-3.36833,1.87711,0.351508
-2.60946,1.46094,0.32464
-3.34743,1.36593,0.476688
-2.78017,2.21933,0.454671
-2.97551,2.27734,-0.134249
-3.26802,1.62083,-0.463213
