3
82,50
-3,2,0
-2.5016,2.0794,-0.399132
-3.07339,2.07844,-0.196517
-2.79925,1.72577,-0.34624
-3.17095,2.05414,-0.141919
-2.51766,1.70037,0.422454
-3.26744,2.17245,-0.146673
-2.92151,1.76388,-0.255932
-2.88329,2.18696,-0.181049
-2.90841,2.13717,-0.330444
-3.49283,2.06513,0.0320161
-3.02964,2.06354,-0.388582
-2.92877,2.49014,0.189854
-2.62528,2.1909,0.415619
-3.47152,1.51994,-0.0302438
-3.11344,1.50229,0.170127
-3.19099,1.73485,-0.15742
-2.83766,2.31334,0.106456
-2.5936,1.93005,-0.206588
-3.27464,1.52164,0.430583
-3.10509,1.52881,-0.00428423
-2.57307,1.99918,-0.440749
-3.46165,1.57041,-0.450604
-2.7718,2.44512,0.240295
-2.85618,2.4736,0.26024
-3.38642,1.86015,0.262529
-2.7163,2.16916,0.497381
-3.37372,1.8315,0.310724
-2.76726,1.73791,-0.259225
-3.47385,1.96326,-0.237586
-2.54327,2.35817,-0.208774
-3.04755,2.2851,0.290402
-2.9883,2.32345,0.360811
-2.9389,2.05165,0.305934
-3.19861,1.69547,0.279534
-3.43837,1.80904,-0.360312
-2.67584,1.59274,0.308853
-2.67846,1.71903,-0.359646
-2.86773,2.45177,-0.121741
-2.62696,2.47792,0.34152
-3.36454,2.43465,0.199693
-3.07332,1.8871,-0.0152075
-3.28292,2.3988,-0.191762
-3.42211,1.9599,0.359884
-2.61617,2.26129,-0.44465
-2.83664,2.32292,-0.135608
-2.69695,2.14708,-0.0428641
-2.8881,1.96862,0.176163
-2.74774,1.60089,0.12793
-3.36949,2.47393,0.105848
-2.52796,1.60938,0.0404992
-2.84198,1.86236,0.150338
-2.34358,1.94176,-0.248793
-2.91537,1.9408,-0.0461787
-2.64123,1.58813,-0.195902
-3.01294,1.9165,0.00841904
-2.35964,1.56273,0.572792
-3.10942,2.03481,0.00366551
-2.76349,1.62624,-0.105594
-2.72527,2.04932,-0.0307106
-2.75039,1.99953,-0.180106
-3.33481,1.92749,0.182355
-2.87162,1.9259,-0.238243
-2.77075,2.3525,0.340193
-2.46727,2.05326,0.565958
-3.31351,1.38231,0.120095
-2.95543,1.36465,0.320465
-3.03297,1.59721,-0.00708112
-2.67965,2.1757,0.256794
-2.43558,1.79241,-0.0562493
-3.11663,1.384,0.580921
-2.94707,1.39117,0.146054
-2.41505,1.86154,-0.29041
-3.30364,1.43277,-0.300266
-2.61378,2.30748,0.390633
-2.69816,2.33596,0.410578
-3.22841,1.72252,0.412867
-2.55828,2.03152,0.64772
-3.2157,1.69386,0.461063
-2.60924,1.60027,-0.108886
-3.31583,1.82562,-0.0872472
-2.38525,2.22053,-0.0584355
-2.88953,2.14746,0.44074
-2.83028,2.18581,0.511149
-2.78089,1.91401,0.456273
-3.04059,1.55783,0.429872
-3.28035,1.6714,-0.209973
-2.51782,1.4551,0.459191
-2.52044,1.58139,-0.209308
-2.70972,2.31413,0.0285976
-2.46894,2.34028,0.491859
-3.20653,2.29701,0.350031
-2.9153,1.74946,0.135131
-3.1249,2.26116,-0.0414232
-3.26409,1.82226,0.510223
-2.45815,2.12365,-0.294311
-2.67862,2.18528,0.01473
-2.53893,2.00944,0.107474
-2.73008,1.83098,0.326502
-2.58973,1.46325,0.278268
-3.21147,2.33629,0.256186
-2.36995,1.47174,0.190838
-2.78631,1.73273,0.130268
-2.2879,1.81213,-0.268863
-2.8597,1.81116,-0.0662487
-2.58555,1.45849,-0.215972
-2.95726,1.78686,-0.011651
-2.30396,1.4331,0.552722
-3.05374,1.90518,-0.0164045
-2.70782,1.4966,-0.125664
-2.6696,1.91968,-0.0507807
-2.69472,1.8699,-0.200176
-3.27913,1.79786,0.162285
-2.81594,1.79626,-0.258313
-2.71507,2.22287,0.320123
-2.41159,1.92363,0.545888
-3.25783,1.25267,0.100025
-2.89975,1.23502,0.300395
-2.9773,1.46758,-0.0271511
-2.62397,2.04607,0.236724
-2.3799,1.66278,-0.0763194
-3.06095,1.25437,0.560851
-2.89139,1.26154,0.125984
-2.35938,1.7319,-0.31048
-3.24796,1.30314,-0.320336
-2.55811,2.17785,0.370563
-2.64249,2.20633,0.390508
-3.17273,1.59288,0.392797
-2.5026,1.90189,0.62765
-3.16002,1.56423,0.440993
-2.55357,1.47063,-0.128956
-3.26015,1.69599,-0.107317
-2.32957,2.0909,-0.0785055
-2.83386,2.01783,0.42067
-2.7746,2.05617,0.491079
-2.72521,1.78437,0.436203
-2.98491,1.42819,0.409802
-3.22467,1.54177,-0.230043
-2.46215,1.32547,0.439121
-2.46476,1.45175,-0.229378
-2.65404,2.18449,0.00852754
-2.41326,2.21065,0.471789
-3.15085,2.16738,0.329961
-2.85962,1.61983,0.115061
-3.06922,2.13153,-0.0614932
-3.20841,1.69263,0.490153
-2.40248,1.99402,-0.314381
-2.62294,2.05565,-0.00533998
-2.48326,1.87981,0.0874043
-2.6744,1.70135,0.306432
-2.53405,1.33362,0.258198
-3.15579,2.20666,0.236116
-2.31427,1.34211,0.170768
-2.57352,1.8702,0.309471
-2.07512,1.9496,-0.0896604
-2.64691,1.94863,0.112954
-2.37276,1.59596,-0.0367692
-2.74447,1.92433,0.167552
-2.09117,1.57057,0.731925
-2.84096,2.04265,0.162798
-2.49503,1.63407,0.0535391
-2.45681,2.05715,0.128422
-2.48193,2.00737,-0.0209729
-3.06635,1.93533,0.341487
-2.60315,1.93373,-0.0791104
-2.50229,2.36034,0.499325
-2.1988,2.0611,0.725091
-3.04504,1.39014,0.279227
-2.68696,1.37249,0.479598
-2.76451,1.60505,0.152052
-2.41118,2.18354,0.415927
-2.16711,1.80025,0.102883
-2.84816,1.39184,0.740054
-2.67861,1.39901,0.305187
-2.14659,1.86937,-0.131277
-3.03517,1.44061,-0.141133
-2.34532,2.31532,0.549766
-2.4297,2.3438,0.569711
-2.95994,1.73035,0.572
-2.28982,2.03936,0.806853
-2.94724,1.7017,0.620195
-2.34078,1.6081,0.0502464
-3.04737,1.83346,0.0718855
-2.11678,2.22837,0.100697
-2.62107,2.1553,0.599873
-2.56182,2.19364,0.670282
-2.51242,1.92184,0.615406
-2.77213,1.56566,0.589005
-3.01189,1.67924,-0.0508406
-2.24936,1.46294,0.618324
-2.25198,1.58923,-0.0501753
-2.44125,2.32196,0.18773
-2.20048,2.34812,0.650991
-2.93806,2.30485,0.509164
-2.64684,1.7573,0.294264
-2.85644,2.269,0.11771
-2.99562,1.8301,0.669356
-2.18969,2.13149,-0.135179
-2.41016,2.19312,0.173863
-2.27047,2.01728,0.266607
-2.46162,1.83882,0.485635
-2.32126,1.47109,0.437401
-2.943,2.34413,0.415319
-2.10148,1.47958,0.34997
-2.5541,1.81413,0.320574
-2.0557,1.89353,-0.0785573
-2.62749,1.89256,0.124057
-2.35335,1.53989,-0.025666
-2.72506,1.86826,0.178655
-2.07176,1.5145,0.743028
-2.82154,1.98658,0.173901
-2.47561,1.578,0.0646422
-2.43739,2.00108,0.139525
-2.46251,1.9513,-0.00986974
-3.04693,1.87926,0.35259
-2.58374,1.87766,-0.0680072
-2.48287,2.30427,0.510429
-2.17939,2.00502,0.736194
-3.02563,1.33407,0.290331
-2.66755,1.31641,0.490701
-2.74509,1.54898,0.163155
-2.39177,2.12747,0.42703
-2.1477,1.74418,0.113987
-2.82875,1.33576,0.751157
-2.65919,1.34294,0.31629
-2.12718,1.8133,-0.120174
-3.01576,1.38453,-0.13003
-2.3259,2.25925,0.560869
-2.41028,2.28772,0.580814
-2.94053,1.67428,0.583103
-2.2704,1.98329,0.817956
-2.92782,1.64563,0.631299
-2.32136,1.55203,0.0613495
-3.02795,1.77739,0.0829887
-2.09737,2.1723,0.1118
-2.60165,2.09923,0.610976
-2.5424,2.13757,0.681385
-2.49301,1.86577,0.626509
-2.75271,1.50959,0.600108
-2.99247,1.62317,-0.0397375
-2.22994,1.40687,0.629427
-2.23256,1.53315,-0.0390721
-2.42184,2.26589,0.198833
-2.18106,2.29204,0.662094
-2.91865,2.24878,0.520267
-2.62742,1.70123,0.305367
-2.83702,2.21293,0.128813
-2.97621,1.77402,0.680459
-2.17027,2.07542,-0.124076
-2.39074,2.13705,0.184966
-2.25105,1.96121,0.27771
-2.4422,1.78275,0.496738
-2.30185,1.41501,0.448504
-2.92359,2.28805,0.426422
-2.08207,1.42351,0.361074
-2.39283,1.93672,0.34876
-1.89443,2.01612,-0.0503721
-2.46622,2.01516,0.152242
-2.19207,1.66249,0.00251915
-2.56378,1.99086,0.20684
-1.91049,1.63709,0.771213
-2.66027,2.10918,0.202087
-2.31434,1.7006,0.0928274
-2.27612,2.12368,0.16771
-2.30124,2.07389,0.0183154
-2.88566,2.00185,0.380776
-2.42247,2.00026,-0.0398221
-2.3216,2.42687,0.538614
-2.01811,2.12762,0.764379
-2.86435,1.45667,0.318516
-2.50627,1.43901,0.518886
-2.58382,1.67157,0.19134
-2.23049,2.25006,0.455215
-1.98643,1.86677,0.142172
-2.66747,1.45836,0.779342
-2.49792,1.46553,0.344475
-1.9659,1.9359,-0.091989
-2.85448,1.50713,-0.101845
-2.16463,2.38185,0.589054
-2.24901,2.41032,0.608999
-2.77925,1.79688,0.611289
-2.10913,2.10589,0.846141
-2.76655,1.76822,0.659484
-2.16009,1.67463,0.0895347
